Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/leave/viewLeaveList"")",Chrome 118.0.0.0,,,2023-11-10 08:57:58,2023-11-10 08:57:59,0.430s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/h5_Leave List""), ""Leave List"")",Chrome 118.0.0.0,,,2023-11-10 08:57:59,2023-11-10 08:58:00,1.096s,PASSED
,,,,,,,
Test Cases/OrangeHRM-View-Most-Commented-Posts,Chrome 118.0.0.0,,,2023-11-10 09:00:39,2023-11-10 09:01:27,48.413s,FAILED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-10 09:00:39,2023-11-10 09:00:54,15.316s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Buzz""))",Chrome 118.0.0.0,,,2023-11-10 09:00:54,2023-11-10 09:00:55,0.969s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/i_oxd-icon bi-caret-down-fill oxd-select-te_cf0fd1""))",Chrome 118.0.0.0,,,2023-11-10 09:00:55,2023-11-10 09:01:26,31.488s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/button_Most Commented Posts""), ""Most Commented Posts"")",Chrome 118.0.0.0,,,2023-11-10 09:01:26,2023-11-10 09:01:27,0.626s,FAILED
,,,,,,,
Test Cases/OrangeHRM-View-Most-Liked,Chrome 118.0.0.0,,,2023-11-10 09:02:26,2023-11-10 09:02:41,15.168s,FAILED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-10 09:02:26,2023-11-10 09:02:39,12.588s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Buzz""))",Chrome 118.0.0.0,,,2023-11-10 09:02:39,2023-11-10 09:02:39,0.727s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Most Recent Posts""))",Chrome 118.0.0.0,,,2023-11-10 09:02:39,2023-11-10 09:02:40,1.217s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/button_Most Recent Posts""), ""Most Liked Posts"")",Chrome 118.0.0.0,,,2023-11-10 09:02:40,2023-11-10 09:02:41,0.616s,FAILED
,,,,,,,
Test Cases/OrangeHRM-View-Most-Recent-Post,Chrome 118.0.0.0,,,2023-11-10 09:03:55,2023-11-10 09:04:12,16.707s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-10 09:03:55,2023-11-10 09:04:09,13.513s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Buzz""))",Chrome 118.0.0.0,,,2023-11-10 09:04:09,2023-11-10 09:04:10,0.900s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/buzz/viewBuzz"")",Chrome 118.0.0.0,,,2023-11-10 09:04:10,2023-11-10 09:04:10,0.407s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Most Recent Posts""))",Chrome 118.0.0.0,,,2023-11-10 09:04:10,2023-11-10 09:04:12,1.565s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/button_Most Recent Posts""), ""Most Recent Posts"")",Chrome 118.0.0.0,,,2023-11-10 09:04:12,2023-11-10 09:04:12,0.308s,PASSED
,,,,,,,
Test Cases/OrangeHRM-View-Timesheet,Chrome 118.0.0.0,,,2023-11-10 09:04:12,2023-11-10 09:04:32,19.401s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-10 09:04:12,2023-11-10 09:04:27,14.227s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Time""))",Chrome 118.0.0.0,,,2023-11-10 09:04:27,2023-11-10 09:04:28,1.147s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/time/viewEmployeeTimesheet"")",Chrome 118.0.0.0,,,2023-11-10 09:04:28,2023-11-10 09:04:28,0.391s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_View""))",Chrome 118.0.0.0,,,2023-11-10 09:04:28,2023-11-10 09:04:30,1.560s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/h6_Actions Performed on the Timesheet""), ""Actions Performed on the Timesheet"")",Chrome 118.0.0.0,,,2023-11-10 09:04:30,2023-11-10 09:04:31,1.674s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-10 09:04:31,2023-11-10 09:04:32,0.255s,PASSED
